ID;name;description
19;Forum shopping;Pratique par laquelle une partie choisit, parmi plusieurs juridictions ou systèmes juridiques compétents, celle qui lui paraît la plus favorable à ses intérêts  que ce soit en matière de droit applicable, de jurisprudence, de délais, de coûts ou de procédures.
20;Forum running;Fait d’intenter l’action en premier pour fixer, choisir, le for.
20.1;Action torpille;Technique procédurale consistant à saisir en premier une juridiction incompétente  afin de bénéficier d’une situation de litispendance, créant ainsi un effet dilatoire dans le règlement du litige.
21;Estoppel;Interdiction de se contredire au détriment d’autrui
22;Déni plausible;Le déni plausible (plausible deniability) est la capacité d’un acteur (gouvernement, organisation ou individu) à réfuter de façon crédible sa connaissance ou sa responsabilité d’actes répréhensibles, en raison de l’absence de preuves directes ou d’une structure décisionnelle délibérément opaque.
23;Grève du zele ;Technique de pression concertée qu'exerce un groupe de salariés sur son employeur, habituellement sur l'initiative du syndicat, et qui consiste à appliquer les normes de travail établies par l'employeur d'une façon tellement stricte qu'elle entraîne une certaine désorganisation du travail.
24;Veille juridique;Activité systématique de collecte, d’analyse et de diffusion d’informations relatives aux évolutions du droit, qu’il s’agisse de textes, de jurisprudence, de doctrine ou de pratiques administratives.
24.1;Veille brevet ;Forme spécialisée de veille juridique et technologique consistant à surveiller en continu les dépôts, publications et évolutions de brevets dans un domaine donné.
24.2;Veille jurisprudentielle;Surveillance des décisions de justice afin d’identifier les évolutions d’interprétation du droit positif.
24.3;Veille doctrinale;Surveillance de la production scientifique et doctrinale (articles, commentaires, thèses) pour comprendre les tendances intellectuelles du droit.
24.4;Veille contractuelle;Surveillance des modèles, clauses et pratiques contractuelles
24.5;Veille législative;Surveillance des initiatives et évolutions parlementaires afin d’anticiper les changements dans le cadre normatif applicable
24.6;Veille réglementaire;Surveillance des textes d’application du droit (décrets, arrêtés, directives, circulaires)
25;Procédure de référé;La procédure de référé est une procédure d'urgence visant à prévenir un dommage ou faire cesser un trouble illicite. Ellepermet d'obtenir rapidement une décision provisoire ou temporaire d'un tribunal sans attendre le jugement sur le fond de l'affaire.
25.1;Consignation;Les mesures de consignation sont des procédures consistant à déposer une somme d’argent ou un bien auprès d’un tiers autorisé afin de garantir l’exécution d’une obligation ou préserver des droits en attente d’une décision définitive.
25.2;Référé expertise;Procédure d’urgence qui permet de demander au juge de désigner un expert pour éclairer les faits d’un litige potentiel ou existant.
25.3;Référé provision;Dans les cas où l'existence de l'obligation n'est pas sérieusement contestable, le juge des référés peut accorder une provision au créancier, ou ordonner l'exécution de l'obligation même s'il s'agit d'une obligation de faire. 
26;Astreinte;L’astreinte est une condamnation pécuniaire accessoire prononcée par un juge pour contraindre une partie à exécuter une obligation, généralement de faire ou de ne pas faire. Elle consiste en une somme d’argent due par jour ou par infraction de retard, jusqu’à complète exécution de la décision judiciaire.
27;Action directe;Demande exercée en justice par laquelle, en application de la Loi, un créancier est recevable à introduire en son nom propre une action contre le débiteur de son débiteur. 
28;Action oblique;Procédure par laquelle un créancier agit en justice au nom et pour le compte de son débiteur, lorsque celui-ci néglige d’exercer ses droits au détriment du patrimoine commun.
29;Action paulienne;"Procédure permettant à un créancier de faire déclarer inopposables les actes accomplis par son débiteur en fraude de ses droits.
Elle a pour but de protéger le gage du créancier en annulant les actes frauduleux qui ont appauvri le patrimoine du débiteur au détriment de sa créance."
30;Action récursoire;Action par laquelle une personne contre laquelle est introduite une instance, y fait intervenir un tiers pour qu'il réponde des condamnations qui pourront être prononcées. contre elle.
31;Récusation;La récusation est une procédure permettant de demander qu’un juge, arbitre ou expert soit écarté d’une affaire lorsqu’il existe des motifs légitimes de douter de son impartialité ou de son indépendance. Elle vise à garantir le droit à un procès équitable en préservant la neutralité de la juridiction ou de l’arbitre.
32;Mesure d'instruction ;Une mesure d’instruction est une décision du juge ordonnant la recherche, la conservation ou la production d’éléments de preuve nécessaires à la résolution d’un litige. Elle vise à éclairer le juge sur les faits par des moyens tels que l’expertise, l’enquête, la constatation, l’audition de témoins ou la production de documents.
33;Désinformer;vise à induire un ennemi en erreur pour lui faire adopter une attitude inadéquate qui facilitera la manœuvre amie
33.1;Intoxiquer;injecter chez l’adversaire des nouvelles erronées pour fausser le jugement
33.2;Simuler;La simulation est l’accomplissement d’activités destinées à masquer les préparatifs d’une opération et à leurrer l’adversaire sur le lieu exact d’une attaque. 
33.3;Imiter;L’imitation consiste à reconstituer des éléments fictifs pour abuser des moyens de reconnaissance adverses.
;;
;;
;;
;;Définir l'état final recherché que l'opération vise à atteindre. Par exemple, l'obtention d'une position avantageuse vis-à-vis des compétiteurs en termes de pouvoir ou d'influence. Les finalités stratégiques peuvent être d'améliorer ou simplement de maintenir une position existante. Cette compétition se déroule dans la sphère publique aussi bien dans les domaines militaire, diplomatique, politique, économique ou idéologique. Elle peut se jouer entre des groupes armés, des États nations, des partis politiques, des groupes d'intérêt ou des individus. 
;Gain géopolitique;Obtenir une position favorable sur la scène internationale.
;Gain politique domestique;Obtenir une position favorable vis-à-vis des oppositions à tous les échelons de la scène politique domestique. 
;Gain économique;Obtenir une position favorable domestiquement ou internationalement dans les milieux du commerce, des échanges, de la finance et de l'industrie. Les acteurs impliqués peuvent être les États-nations, les corporations, les banques, les groupements industriels, les cartels. 
;Gain idéologique;Obtenir une position favorable localement ou à l'international sur le marché des idées, des croyances et des visions du monde. La compétition met en jeu des systèmes de croyance, des systèmes politiques et des systèmes de valeurs. Elle inclut des mouvements sous-nationaux, nationaux et supra-nationaux. 
